FullPath,GOOD/BAD MAINPATH,Instance,SOL_1,SOL_2,SOL_3,LOC_SOL,SOL_GLOB,CAT_1,CAT_2,CAT_3,REQ_1,REQ_2,REQ_3,COND_1,COND_2,COND_3
/content/dataset-2/А21-10507-2018/2018.10.29.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,не удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Отсутствие доказательств по выдаче средств должнику в полном объёме,,
/content/dataset-2/А21-10507-2018/2019.11.07.txt,GOOD DEF,3,"В удовлетворении требования отказано, поскольку действия кредитора и должника направлены на искусственное создание задолженности должника для последующего распределения конкурсной массы в пользу ""дружественного"" кредитора, а доказательства разумных экономических мотивов совершения сделок займа отсутствуют",,,не удовлетворено,не удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Отсутствие доказательств по выдаче средств должнику в полном объёме,,
/content/dataset-2/А21-10507-2018/2020.07.17.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,не удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Отсутствие доказательств по выдаче средств должнику в полном объёме,,
/content/dataset-2/А21-10507-2018/2020.12.17.txt,GOOD DEF,2,Отказано,,,не удовлетворено,не удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Отсутствие доказательств по выдаче средств должнику в полном объёме,,
/content/dataset-2/А21-10507-2018/2021.03.09.txt,GOOD DEF,3,"В удовлетворении требования отказано, поскольку не представлены доказательства реальности спорных заемных обязательств, предусматривающих передачу денежных средств в наличной форме",,,не удовлетворено,не удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Отсутствие доказательств по выдаче средств должнику в полном объёме,,
/content/dataset-2/А21-12568-2019/2020.07.06.txt,GOOD DEF,1,Требование удовлетворено в части,,,удовлетворено частично,удовлетворено частично,Поставка электроэнергии,,,О взыскании основного долга и пени,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А21-12568-2019/2020.10.21.txt,GOOD DEF,2,Удовлетворено в части,Удовлетворено в части,,удовлетворено частично,удовлетворено частично,Поставка электроэнергии,,,О взыскании основного долга и пени,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А21-14493-2019/2020.07.02.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Оспаривание сделок должника,,
/content/dataset-2/А21-14493-2019/2021.07.22.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Оспаривание сделок должника,,
/content/dataset-2/А21-1487-2020/2020.07.09.txt,GOOD DEF,1,В удовлетворении требования отказано,,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Нарушение условий договора,,
/content/dataset-2/А21-1487-2020/2020.11.29.txt,GOOD DEF,2,Производство прекращено,Удовлетворено в части,,удовлетворено частично,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Нарушение условий договора,,
/content/dataset-2/А21-16577-2018/2020.08.04.txt,GOOD DEF,1,Требование удовлетворено,,NOT MY COND,удовлетворено,не удовлетворено,Поставка электроэнергии,,,Об урегулировании разногласий при заключении договора,,,Недобросовестное поведение,,
/content/dataset-2/А21-16577-2018/2020.12.18.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,не удовлетворено,Поставка электроэнергии,,,Об урегулировании разногласий при заключении договора,,,Другое: поставка электроэнергии,,
/content/dataset-2/А21-16577-2018/2021.05.19.txt,GOOD DEF,3,"Дело направлено на новое рассмотрение, поскольку необходимо установить, являются ли спорные приборы учета индивидуальными для отдельных нежилых помещений либо отвечают признакам общедомового имущества",,,не удовлетворено,не удовлетворено,Поставка электроэнергии,,,Об урегулировании разногласий при заключении договора,,,Недобросовестное поведение,,
/content/dataset-2/А21-16577-2018/2021.08.04.txt,GOOD DEF,4,"В передаче дела в Судебную коллегию по экономическим спорам Верховного Суда РФ отказано, так как обжалуемое постановление принято в рамках полномочий суда округа и в пределах их осуществления при проверке законности судебных актов первой и апелляционной инстанций, предусмотренных статьями 286 и 287 Арбитражного процессуального кодекса Российской Федерации",,NOT MY COND,не удовлетворено,не удовлетворено,Поставка электроэнергии,,,Об урегулировании разногласий при заключении договора,,,Недобросовестное поведение,,
/content/dataset-2/А21-16846-2019/2020.07.02.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Деятельность финансового управляющего,,
/content/dataset-2/А21-16846-2019/2021.02.10.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Деятельность финансового управляющего,,
/content/dataset-2/А21-2087-2020/2020.07.10.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Пропуск срока исковой давности,,
/content/dataset-2/А21-2087-2020/2021.02.08.txt,GOOD DEF,2,Отказано,Отказано,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Пропуск срока исковой давности,,
/content/dataset-2/А21-218-2020/2020.07.08.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,не удовлетворено,Поставка электроэнергии,,,О пересмотре в кассационном порядке судебных актов по делу о взыскании неосновательного обогащения,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А21-218-2020/2020.11.25.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,не удовлетворено,Поставка электроэнергии,,,О пересмотре в кассационном порядке судебных актов по делу о взыскании неосновательного обогащения,,,Безучетное потребление,,
/content/dataset-2/А21-218-2020/2021.03.24.txt,GOOD DEF,3,"Требование удовлетворено, поскольку спорный объект был присоединен к сетям общества самовольно",,,удовлетворено,не удовлетворено,Поставка электроэнергии,,,О пересмотре в кассационном порядке судебных актов по делу о взыскании неосновательного обогащения,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А21-218-2020/2021.06.21.txt,GOOD DEF,4,"В передаче дела в Судебную коллегию по экономическим спорам Верховного Суда РФ отказано, поскольку на момент проверки объект бездоговорного потребления был присоединен к сетям общества, акт о бездоговорном потреблении электрической энергии, подписанный работником учреждения, составлен в соответствии с требованиями пунктов 192, 193 Основных положений. Произведенный обществом расчет бездоговорного потребления апелляционным судом проверен, признан верным, контррасчет ответчиком не представлен",,,не удовлетворено,не удовлетворено,Поставка электроэнергии,,,О пересмотре в кассационном порядке судебных актов по делу о взыскании неосновательного обогащения,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А21-2354-2020/2020.07.31.txt,GOOD DEF,1,В удовлетворении требования отказано,,NOT MY COND,не удовлетворено,не удовлетворено,Аренда земли,Споры в сфере охраны окружающей среды,,О признании недействительным акта органов власти,,,"Арендатор лесного участка полагает незаконным отказ в приеме лесной декларации, обоснованный недостоверностью сведений, указанных в ней",,
/content/dataset-2/А21-2354-2020/2021.01.21.txt,GOOD DEF,2,Отказано,,,не удовлетворено,не удовлетворено,Аренда земли,Споры в сфере охраны окружающей среды,,О признании недействительным акта органов власти,,,"Арендатор лесного участка полагает незаконным отказ в приеме лесной декларации, обоснованный недостоверностью сведений, указанных в ней",,
/content/dataset-2/А21-26-2020/2020.08.05.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности и неустойки в порядке 395 ГК РФ,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А21-26-2020/2020.12.29.txt,GOOD DEF,2,Удовлетворено,Удовлетворено,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности и неустойки в порядке 395 ГК РФ,,,Неоплата услуг/Нарушение обязанности по оплате,,
